question_id,prompt,A,B,C,D,E,answer,difficulty
650,The discovery of the New World resulted from the desire of many Europeans to,establish a place where they could practice their religion freely.,find an all-water route to the East.,end the practice of primogeniture.,spread Christianity around the world.,uplift and civilize other peoples of the world.,B,0.03
651,Which event was the most important cause of the Nullification Crisis?,The passage of the Force Act under Andrew Jackson,The debates between Robert Y. Hayne and Daniel Webster,The Treaty of Ghent after the War of 1812,The passage of the Compromise Tariff of 1833,The passage of the 1828 Tariff of Abominations,E,0.35
652,Why did Stephen Douglas support the idea of Popular Sovereignty when designing the Kansas-Nebraska Act of 1854?,"It guaranteed that ""free soilers"" could exclude slavery from Kansas and Nebraska.",It was outlined in the Constitution as a method for creating new states.,It guaranteed that pro-slavery settlers could expand slavery in Kansas.,It seemed a fair way to resolve a difficult controversy.,It let the Congress decide on slavery in the territories.,D,0.46
653,Which of the following developments is NOT associated with the Gilded Age?,Relations between workers and owners became increasingly contentious.,"African Americans' migration to industrial cities led to ""white flight.""",New inventions made communication between cities easier.,Many industries came to be dominated by a small number of large companies.,Corruption in politics became more public and widespread.,B,0.58
654,The publication of The Jungle contributed to rapid passage of the,Interstate Commerce Act.,Wade-Davis Bill.,Pure Food and Drug Act.,15th Amendment.,Clayton Antitrust Act.,C,0.79
655,A philosophical basis of Franklin D. Roosevelt's New Deal was the,philosophy of Herbert Hoover.,practice of laissez-faire by the government.,"combination of relief, recovery, and reform.",idea that wars end depression.,importance of gaining the approval of Congress before he established his programs.,C,0.3
656,"In response to the Japanese invasion of Manchuria in 1931, the United States",issued a document refusing to recognize Japanese actions as legitimate.,called a special session of the League of Nations.,sent General MacArthur to command U.S. forces in the Pacific.,engaged in a policy of watchful waiting.,"sent the Panay, a naval vessel, to the coast of Japan.",A,0.95
657,"During the years of Lyndon Johnson's presidency, all of the following were enacted EXCEPT",Medicare.,Medicaid.,the Elementary and Secondary Education Act.,the Constitutional Amendment eliminating the poll tax.,the Alliance for Progress.,E,0.27
658,For which of the following ideas in the 1970s was Gloria Steinem most noted?,"Sex has political aspects, which can be seen in literary works by writers such as D. H. Lawrence and Norman Mailer.",Women should convince men to help with the housework.,Blacks and whites should have equality in the workplace.,Women should have equal rights with men.,The use of pesticides was harming the environment.,D,0.62
659,An example of the change in U.S. policy toward Vietnam since the end of the Vietnam War was best demonstrated by,increased aid given to North Vietnam by George H. W. Bush.,trade restrictions placed on Vietnam by George W. Bush.,recognition of the Vietnamese government by Richard Nixon.,criticism of Vietnam for its human rights violations by Jimmy Carter.,visits and trade talks conducted by Bill Clinton with Vietnamese leaders.,E,0.04
660,The New England colonists seemed to thrive in the early years of colonization as compared to the Southern colonists. The longer life spans and the overall growth of the population in New England have been attributed to the,participation of New Englanders in transatlantic trade.,lack of slavery and indentured servitude in New England.,strong religious beliefs and the family units with which they traveled to the New World.,larger number of single men in the New England colonies.,temperate climate of New England.,C,0.82
661,The Northwest Ordinance of 1787 was significant because it,ended British control of the Ohio Valley.,prohibited the extension of slavery into the Northwest Territory.,prevented slavery north of the 36° 30' north latitude line.,secured peaceful relations between the colonists and the Native Americans.,settled a dispute over the location of the boundary between Canada and the United States.,B,0.68
662,"In the 1829 Appeal to the Colored Citizens of the World, David Walker called for",the gradual abolition of slavery.,a return to Africa for all African Americans.,"the immediate abolition of slavery and, if necessary, for slaves to kill their masters.",slaves to wait until the time was right to ask the U.S. government for emancipation.,a separate state for freed people to live in.,C,0.63
663,Which of the following is an important reason the South lost the Civil War?,The South did not have enough guns to prevent the Union from overpowering it.,"Slaves ran away, so there were fewer and fewer hands to do the work on the home front.","The Union generals were better military men, so they continually out-maneuvered the Southern forces.",The South was unable to ship any cotton because the Union blockade was so effective.,The issues of slavery and states rights were not important to the majority of Southerners.,B,0.41
665,One reason Woodrow Wilson was able to win the presidency in 1912 was that,Americans rallied around him during World War I.,a majority of African Americans voted for the Democratic Party.,Wilson's humble origins endeared him to working-class Americans.,there was a major split in the Republican Party.,his opponent died two weeks before the election.,D,0.49
666,Which of the following best describes the differences that existed between the American Federation of Labor (AFL) and the Congress of Industrial Organizations (CIO) in the 1930s?,"The AFL had a huge membership, while the CIO never developed a mass following.","The AFL had its strength east of the Mississippi River, while the CIO was strongest west of the Mississippi.","The AFL was more cautious in its approach to conflicts with management, while the CIO was willing to use more militant tactics, such as the sit-down strike.","The AFL was actually a coalition of ""company unions,"" organized by management to placate worker resentment, while the CIO was composed of actual worker organizations.","The AFL was dominated by Communist Party members, while the CIO, fearing government reprisals, excluded Communists from leadership positions.",C,0.18
667,"In the ""Letter from Birmingham Jail,"" Martin Luther King Jr. discussed the ""strangely irrational notion that there is something in the flow of time that inevitably cures all ills. We must come to see that human progress never rolls on the wheels of inevitability."" Which of the following represents the main idea of the above excerpt?",Nonviolence is the key to success for the civil rights movement.,The white moderates are obstacles to our victory.,We must act now.,Injustice must be eradicated everywhere.,Breaking unjust laws is justified.,C,0.52
668,The women's movement that emerged in the 1970s was called the second wave of feminism because it,took its name from the title of a book by Simone de Beauvoir.,built on the women's movement of the 19th century.,built on the women's movement of the 1930s.,took inspiration from the women's movement in Europe.,took its name from the title of a book by Kate Millett.,B,0.68
